parkID,parkName,lat,lng,capacity,emptyCapacity,workHours,parkType,freeTime,district,isOpen
1168,İ.M.P Önü 1,41.0318,28.9747,200,183,08:00-05:00,AÇIK OTOPARK,0,BEYOĞLU,1
1189,İçerenköy Sebze Meyve Hali Otoparkı,40.9766,29.1045,600,599,24 Saat,AÇIK OTOPARK,15,ATAŞEHİR,1
1542,İkinci Keskin Kalem Sokak 1,41.0696,29.0066,40,40,07:00-17:00,YOL ÜSTÜ,0,ŞİŞLİ,0
352,İmç Önü 1,41.0171,28.9569,28,28,08:30-18:30,YOL ÜSTÜ,15,FATİH,0
353,İmç Önü 2,41.0177,28.9574,30,24,08:30-18:30,YOL ÜSTÜ,15,FATİH,0
356,İmç Önü 5,41.0187,28.958,35,28,08:30-18:30,YOL ÜSTÜ,15,FATİH,0
907,İmç Önü 8,41.0201,28.9591,35,32,08:30-18:30,YOL ÜSTÜ,15,FATİH,0
504,İmran Öktem Yol Üstü Otoparkı 1,41.0067,28.9736,75,59,07:00-19:00,YOL ÜSTÜ,0,FATİH,0
505,İmran Öktem Yol Üstü Otoparkı 2,41.0073,28.9742,105,105,07:00-19:00,YOL ÜSTÜ,0,FATİH,0
1127,İshakpaşa Caddesi,41.0081,28.9815,200,198,08:00-19:00,YOL ÜSTÜ,0,FATİH,0
3265,İspark İstanbul West Marina Açık Otoparkı 1,40.9633,28.656,250,244,24 Saat,AÇIK OTOPARK,15,BEYLİKDÜZÜ,1
2793,İspark Merter Katlı Otoparkı,41.0038,28.8897,900,707,24 Saat,KAPALI OTOPARK,10,GÜNGÖREN,1
2888,İspark Tüyap Açık Otopark,41.0241,28.6239,1100,1100,06:00-19:00,AÇIK OTOPARK,0,BÜYÜKÇEKMECE,0
2430,İspark West İstanbul Marina Açık Otoparkı,40.9639,28.6591,1750,421,24 Saat,AÇIK OTOPARK,15,BEYLİKDÜZÜ,1
378,İstinye 1 ( Hastane Önü ),41.1146,29.0552,25,11,08:00-17:30,YOL ÜSTÜ,15,SARIYER,0
380,İstinye 3 ( Hastane Karşısı ),41.115,29.0562,25,25,08:00-17:30,YOL ÜSTÜ,15,SARIYER,0
